TRI Incident Number,Subject Injury Level,Subject Injured,Age,Subject Race,Subject Gender,Force Against MOS,Subject Used Force
2020020962067,No Injury,N,,BLACK,MALE,Physical Force,Y
2020020962143,No Injury,N,,BLACK,MALE,Physical Force,Y
2020024962080,No Injury,N,,BLACK,MALE,Physical Force,Y
2020025962038,No Injury,N,,BLACK,MALE,Physical Force,Y
2020025962049,No Injury,N,,BLACK,MALE,Physical Force,Y
2020025962140,No Injury,N,,BLACK,MALE,Physical Force,Y
2020026962081,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962033,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962062,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962112,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962115,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962142,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962185,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962187,No Injury,N,,BLACK,MALE,Physical Force,Y
2020032962189,No Injury,N,,BLACK,MALE,Physical Force,Y
2020033962043,No Injury,N,,BLACK,MALE,Physical Force,Y
2020033962045,No Injury,N,,BLACK,MALE,Physical Force,Y
2020037962093,No Injury,N,,BLACK,MALE,Physical Force,Y
2020038962048,No Injury,N,,BLACK,MALE,Physical Force,Y
2020042962082,No Injury,N,,BLACK,MALE,Physical Force,Y
2020043962075,No Injury,N,,BLACK,MALE,Physical Force,Y
2020044962035,No Injury,N,,BLACK,MALE,Physical Force,Y
2020044962090,No Injury,N,,BLACK,MALE,Physical Force,Y
2020044962100,No Injury,N,,BLACK,MALE,Physical Force,Y
2020044962110,No Injury,N,,BLACK,MALE,Physical Force,Y
2020051962087,No Injury,N,,BLACK,MALE,Physical Force,Y
2020053962116,No Injury,N,,BLACK,MALE,Physical Force,Y
2020059962100,No Injury,N,,BLACK,MALE,Physical Force,Y
2020059962140,No Injury,N,,BLACK,MALE,Physical Force,Y
2020059962216,No Injury,N,,BLACK,MALE,Physical Force,Y
2020061962165,No Injury,N,,BLACK,MALE,Physical Force,Y
2020062962046,No Injury,N,,BLACK,MALE,Physical Force,Y
2020062962159,No Injury,N,,BLACK,MALE,Physical Force,Y
2020063962239,No Injury,N,,BLACK,MALE,Physical Force,Y
2020065962038,No Injury,N,,BLACK,MALE,Physical Force,Y
2020065962044,No Injury,N,,BLACK,MALE,Physical Force,Y
2020065962058,No Injury,N,,BLACK,MALE,Physical Force,Y
2020065962172,No Injury,N,,BLACK,MALE,Physical Force,Y
2020066962219,No Injury,N,,BLACK,MALE,Physical Force,Y
2020067962133,No Injury,N,,BLACK,MALE,Physical Force,Y
2020067962161,No Injury,N,,BLACK,MALE,Physical Force,Y
2020079962086,No Injury,N,,BLACK,MALE,Physical Force,Y
2020082962035,No Injury,N,,BLACK,MALE,Physical Force,Y
2020082962095,No Injury,N,,BLACK,MALE,Physical Force,Y
2020086962065,No Injury,N,,BLACK,MALE,Physical Force,Y
2020089962040,No Injury,N,,BLACK,MALE,Physical Force,Y
2020089962132,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962072,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962091,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962131,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962135,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962152,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962181,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962185,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962206,No Injury,N,,BLACK,MALE,Physical Force,Y
2020092962235,No Injury,N,,BLACK,MALE,Physical Force,Y
2020094962220,No Injury,N,,BLACK,MALE,Physical Force,Y
2020097962028,No Injury,N,,BLACK,MALE,Physical Force,Y
2020098962082,No Injury,N,,BLACK,MALE,Physical Force,Y
2020100962049,No Injury,N,,BLACK,MALE,Physical Force,Y
2020102962066,No Injury,N,,BLACK,MALE,Physical Force,Y
2020102962104,No Injury,N,,BLACK,MALE,Physical Force,Y
2020103962115,No Injury,N,,BLACK,MALE,Physical Force,Y
2020103962159,No Injury,N,,BLACK,MALE,Physical Force,Y
2020109962070,No Injury,N,,BLACK,MALE,Physical Force,Y
2020113962039,No Injury,N,,BLACK,MALE,Physical Force,Y
2020113962052,No Injury,N,,BLACK,MALE,Physical Force,Y
2020120962062,No Injury,N,,BLACK,MALE,Physical Force,Y
2020122962178,No Injury,N,,BLACK,MALE,Physical Force,Y
2020122962181,No Injury,N,,BLACK,MALE,Physical Force,Y
2020122962189,No Injury,N,,BLACK,MALE,Physical Force,Y
2020123962047,No Injury,N,,BLACK,MALE,Physical Force,Y
2020126962057,No Injury,N,,BLACK,MALE,Physical Force,Y
2020132962044,No Injury,N,,BLACK,MALE,Physical Force,Y
2020132962082,No Injury,N,,BLACK,MALE,Physical Force,Y
2020132962115,No Injury,N,,BLACK,MALE,Physical Force,Y
2020139962043,No Injury,N,,BLACK,MALE,Physical Force,Y
2020139962076,No Injury,N,,BLACK,MALE,Physical Force,Y
2020140962093,No Injury,N,,BLACK,MALE,Physical Force,Y
2020140962094,No Injury,N,,BLACK,MALE,Physical Force,Y
2020140962103,No Injury,N,,BLACK,MALE,Physical Force,Y
2021020962035,No Injury,N,,BLACK,MALE,Physical Force,Y
